小区,老人类型,助餐,日间照料,上门护理,康复理疗,助浴,紧急救助
A,半失能,3020,2114,906,604,302,151
A,失能,2118,1733,1155,578,385,289
A,自理,7294,4168,0,1042,0,78
B,半失能,2451,1716,735,490,245,123
B,失能,1795,1469,979,490,326,245
B,自理,6090,3480,0,870,0,65
C,半失能,3980,2786,1194,796,398,199
C,失能,3093,2531,1687,844,562,422
C,自理,9352,5344,0,1336,0,100
D,半失能,2046,1432,614,409,205,102
D,失能,1489,1219,812,406,271,203
D,自理,5474,3128,0,782,0,59
E,半失能,3360,2352,1008,672,336,168
E,失能,2486,2034,1356,678,452,339
E,自理,7952,4544,0,1136,0,85
F,半失能,1659,1161,498,332,166,83
F,失能,1106,905,603,302,201,151
F,自理,4830,2760,0,690,0,52
G,半失能,3700,2590,1110,740,370,185
G,失能,2813,2301,1534,767,511,384
G,自理,8764,5008,0,1252,0,94
H,半失能,2245,1571,673,449,224,112
H,失能,1492,1220,814,407,271,203
H,自理,5782,3304,0,826,0,62
I,半失能,3180,2226,954,636,318,159
I,失能,2164,1770,1180,590,393,295
I,自理,7476,4272,0,1068,0,80
J,半失能,2725,1908,818,545,273,136
J,失能,1818,1488,992,496,331,248
J,自理,6720,3840,0,960,0,72
