小区,老人类型,助餐,日间照料,上门护理,康复理疗,助浴,紧急救助
A,半失能,20.0,14.0,6.0,4.0,2.0,1.0
A,失能,18.57615894039735,15.198675496688741,10.132450331125828,5.066225165562914,3.377483443708609,2.533112582781457
A,自理,14.0,8.0,0.0,2.0,0.0,0.15
B,半失能,18.856447688564476,13.199513381995134,5.656934306569343,3.7712895377128954,1.8856447688564477,0.9428223844282239
B,失能,16.93708609271523,13.857615894039736,9.23841059602649,4.619205298013245,3.0794701986754967,2.3096026490066226
B,自理,14.0,8.0,0.0,2.0,0.0,0.15
C,半失能,20.0,14.0,6.0,4.0,2.0,1.0
C,失能,20.76158940397351,16.986754966887418,11.32450331125828,5.66225165562914,3.774834437086093,2.83112582781457
C,自理,14.0,8.0,0.0,2.0,0.0,0.15
D,半失能,17.639902676399025,12.347931873479318,5.291970802919708,3.5279805352798053,1.7639902676399026,0.8819951338199513
D,失能,15.844370860927151,12.963576158940397,8.642384105960264,4.321192052980132,2.880794701986755,2.160596026490066
D,自理,14.0,8.0,0.0,2.0,0.0,0.15
E,半失能,20.0,14.0,6.0,4.0,2.0,1.0
E,失能,19.12251655629139,15.645695364238412,10.43046357615894,5.21523178807947,3.4768211920529803,2.607615894039735
E,自理,14.0,8.0,0.0,2.0,0.0,0.15
F,半失能,16.423357664233578,11.496350364963504,4.927007299270073,3.2846715328467155,1.6423357664233578,0.8211678832116789
F,失能,14.751655629139073,12.069536423841061,8.04635761589404,4.02317880794702,2.6821192052980134,2.01158940397351
F,自理,14.0,8.0,0.0,2.0,0.0,0.15
G,半失能,20.0,14.0,6.0,4.0,2.0,1.0
G,失能,19.66887417218543,16.09271523178808,10.728476821192054,5.364238410596027,3.576158940397351,2.6821192052980134
G,自理,14.0,8.0,0.0,2.0,0.0,0.15
H,半失能,18.248175182481752,12.773722627737227,5.474452554744525,3.6496350364963503,1.8248175182481752,0.9124087591240876
H,失能,16.39072847682119,13.410596026490067,8.940397350993377,4.470198675496689,2.980132450331126,2.2350993377483444
H,自理,14.0,8.0,0.0,2.0,0.0,0.15
I,半失能,20.0,14.0,6.0,4.0,2.0,1.0
I,失能,18.02980132450331,14.751655629139073,9.834437086092716,4.917218543046358,3.2781456953642385,2.458609271523179
I,自理,14.0,8.0,0.0,2.0,0.0,0.15
J,半失能,19.464720194647203,13.625304136253042,5.839416058394161,3.8929440389294405,1.9464720194647203,0.9732360097323601
J,失能,17.483443708609272,14.304635761589402,9.536423841059602,4.768211920529801,3.1788079470198674,2.3841059602649004
J,自理,14.0,8.0,0.0,2.0,0.0,0.15
