情景,小区,服务站,满意度
基准情景,A,J,0.86
基准情景,B,J,0.88
基准情景,C,G,0.86
基准情景,D,D,0.88
基准情景,E,G,0.86
基准情景,F,未覆盖,0.0
基准情景,G,J,0.8300000000000001
基准情景,H,D,0.88
基准情景,I,D,0.86
基准情景,J,J,0.88
老人增长率8%,A,J,0.86
老人增长率8%,B,H,0.86
老人增长率8%,C,I,0.8300000000000001
老人增长率8%,D,J,0.86
老人增长率8%,E,J,0.8
老人增长率8%,F,未覆盖,0.0
老人增长率8%,G,E,0.86
老人增长率8%,H,H,0.88
老人增长率8%,I,J,0.86
老人增长率8%,J,H,0.88
转移概率调整,A,J,0.86
转移概率调整,B,J,0.88
转移概率调整,C,I,0.8300000000000001
转移概率调整,D,D,0.88
转移概率调整,E,J,0.8
转移概率调整,F,未覆盖,0.0
转移概率调整,G,I,0.86
转移概率调整,H,D,0.88
转移概率调整,I,J,0.86
转移概率调整,J,D,0.86
运营成本增加20%,A,J,0.86
运营成本增加20%,B,J,0.88
运营成本增加20%,C,G,0.86
运营成本增加20%,D,D,0.88
运营成本增加20%,E,G,0.86
运营成本增加20%,F,未覆盖,0.0
运营成本增加20%,G,J,0.8300000000000001
运营成本增加20%,H,D,0.88
运营成本增加20%,I,D,0.86
运营成本增加20%,J,J,0.88
预算140万元,A,A,0.9550000000000001
预算140万元,B,H,0.86
预算140万元,C,G,0.896
预算140万元,D,H,0.88
预算140万元,E,G,0.896
预算140万元,F,G,0.896
预算140万元,G,J,0.866
预算140万元,H,H,0.88
预算140万元,I,J,0.896
预算140万元,J,J,0.916
